ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS
138,Wilson Blvd & N Franklin Rd,31020,38.8904,-77.0889,7,3
139,Clarendon Blvd & N Fillmore St,31021,38.8881,-77.09308,5,10
140,Clarendon Metro / Wilson Blvd & N Highland St,31022,38.88786,-77.094875,6,11
141,18th St & Pennsylvania Ave NW,31242,38.89968,-77.041539,20,7
142,4th & C St SW,31243,38.886372,-77.017701,36,3
143,4th & E St SW,31244,38.88412,-77.017445,8,11
144,3rd & G St SE,31625,38.881185,-77.001828,12,7
145,7th & R St NW / Shaw Library,31245,38.912719,-77.022155,11,3
146,9th & Upshur St NW,31404,38.9418,-77.0251,1,13
147,1st & Rhode Island Ave NW,31506,38.915417,-77.012289,0,13
148,Columbia Rd & Georgia Ave NW,31115,38.928121,-77.023795,8,11
149,California St & Florida Ave NW,31116,38.917761,-77.04062,16,3
150,Benning Rd & East Capitol St NE / Benning Rd Metro,31707,38.889935,-76.93723,17,2
151,3000 Connecticut Ave NW / National Zoo,31307,38.930282,-77.055599,6,8
152,Anacostia Ave & Benning Rd NE / River Terrace,31708,38.896544,-76.96012,9,4
153,M St & Pennsylvania Ave NW,31246,38.905126,-77.056887,12,7
154,15th St & Massachusetts Ave SE,31626,38.88732,-76.983569,10,5
155,Congress Heights Metro,31806,38.844711,-76.987823,2,12
156,N Quincy St & Glebe Rd,31035,38.876393,-77.107735,2,9
157,Barcroft Community Center,31033,38.850337,-77.100989,7,3
158,N Veitch St & 20th St N,31029,38.896923,-77.086502,6,9
159,10th & K St NW,31263,38.9024,-77.02622,19,4
160,Fairfax Dr & Wilson Blvd,31023,38.885801,-77.097745,4,7
161,Key Blvd & N Quinn St,31027,38.896355,-77.078408,7,4
162,1st & K St SE,31628,38.878854,-77.005727,15,0
163,39th & Calvert St NW / Stoddert,31306,38.922649,-77.077271,7,12
164,1st & Washington Hospital Center NW,31507,38.928743,-77.012457,4,11
165,Virginia Square Metro / Monroe St & 9th St N,31024,38.882788,-77.103148,9,10
166,Central Library / Quincy St & 10th St N,31025,38.88397,-77.10783,6,5
167,Washington Blvd & 10th St N,31026,38.884734,-77.093485,7,6
168,Jefferson Dr & 14th St SW,31247,38.888553,-77.032429,9,14
169,Smithsonian-National Mall / Jefferson Dr & 12th St SW,31248,38.888767,-77.02858,19,16
170,George Mason Dr & Wilson Blvd,31036,38.87887,-77.1207,1,14
171,6th St & Indiana Ave NW,31264,38.894573,-77.01994,11,8
172,N Veitch St & Key Blvd,31028,38.893237,-77.086063,5,6
173,Lee Hwy & N Adams St,31030,38.89593,-77.089006,4,15
174,15th St & N Scott St,31031,38.89054,-77.08095,6,5
175,Washington Blvd & 7th St N,31032,38.88081,-77.090792,0,11
176,Ballston Metro / Stuart St & 9th St N,31037,38.881044,-77.111768,12,11
177,Fairfax Dr & N Randolph St,31034,38.882629,-77.109366,3,7
178,Jefferson Memorial,31249,38.879819,-77.037413,11,12
179,Good Hope Rd & 14th St SE,31803,38.866611,-76.985238,7,8
180,Glebe Rd & 11th St N,31038,38.883921,-77.116817,4,7
181,Wilson Blvd & N Quincy St,31039,38.880012,-77.107854,8,7
182,GMU / Fairfax Dr & Kenmore St,31040,38.884616,-77.10108,8,3
183,Gallaudet / 8th St & Florida Ave NE,31508,38.90509,-76.9941,11,8
185,20th & L St NW,31250,38.903584,-77.044789,9,9
186,12th & L St NW,31251,38.903819,-77.0284,17,2
187,21st St & Pennsylvania Ave NW,31252,38.901539,-77.046564,5,14
188,19th & K St NW,31253,38.902204,-77.04337,19,4
189,Prince St & Union St,31041,38.803124,-77.040363,5,14
190,Market Square / King St & Royal St,31042,38.804718,-77.043363,2,13
191,Saint Asaph St & Pendleton  St,31043,38.810743,-77.044664,11,4
192,King St & Patrick St,31044,38.805317,-77.049883,5,10
193,15th & K St NW,31254,38.902,-77.03353,21,6
194,Commerce St & Fayette St,31045,38.805648,-77.05293,14,1
195,Henry St & Pendleton St,31046,38.811456,-77.050276,9,7
196,Braddock Rd Metro,31047,38.814577,-77.052808,20,9
197,King St Metro South,31048,38.805763,-77.060627,5,18
198,24th & N St NW,31255,38.9066,-77.05152,5,10
199,10th & E St NW,31256,38.895914,-77.026064,11,3
200,22nd & I St NW / Foggy Bottom,31257,38.90088,-77.048911,2,12
201,Utah St & 11th St N,31049,38.883669,-77.113905,1,10
202,Barton St & 10th St N,31050,38.884961,-77.08777,4,7
203,Arlington Blvd & N Queen St,31051,38.889365,-77.077294,10,1
204,Lincoln Memorial,31258,38.888251,-77.049426,4,21
206,20th St & Virginia Ave NW,31259,38.894722,-77.045128,3,12
207,5th St & Massachusetts Ave NW,31265,38.90093,-77.018677,10,9
208,39th & Veazey St NW,31308,38.943837,-77.077078,5,10
209,Fessenden St & Wisconsin Ave NW,31309,38.954812,-77.082426,7,8
210,3rd & M St NE,31627,38.90547,-77.00213,14,8
211,Columbia Pike & S Courthouse Rd,31053,38.863833,-77.080319,6,8
212,Walter Reed Dr & 16th St S,31054,38.857803,-77.086733,6,5
213,28th St & S Meade St,31055,38.846222,-77.069275,11,3
214,18th St & Wyoming Ave NW,31114,38.918809,-77.041571,9,14
215,5th & Kennedy St NW,31403,38.956556,-77.019814,12,3
216,Georgia Ave & Emerson St NW,31405,38.949662,-77.027333,12,7
217,14th & Upshur St NW,31406,38.942475,-77.032678,12,7
218,14th St & Colorado Ave NW,31407,38.956432,-77.032947,15,4
219,Troy St & 26th St S,31056,38.847977,-77.075104,6,5
220,Four Mile Run Dr & S Shirlington Rd,31057,38.8444,-77.085931,8,3
221,Columbia Pike & S Oakland St,31058,38.860789,-77.09586,4,6
222,Four Mile Run Dr & S Walter Reed Dr,31059,38.84736,-77.095431,11,0
223,S Arlington Mill Dr & Campbell Ave,31060,38.84232,-77.089555,10,5
224,Kenmore St & 24th St S,31061,38.848454,-77.084918,2,9
225,13th St & Eastern Ave,32006,38.987,-77.029417,5,10
226,Wisconsin Ave & O St NW,31312,38.90849,-77.063586,7,11
227,Roosevelt Island,31062,38.896553,-77.06714,12,1
228,Connecticut & Nebraska Ave NW,31310,38.955016,-77.069956,7,16
229,17th St & Massachusetts Ave NW,31267,38.908142,-77.038359,5,12
230,15th & Euclid St  NW,31117,38.92333,-77.0352,5,10
231,8th & East Capitol St NE,31629,38.889988,-76.995193,7,4
232,New Jersey Ave & R St NW,31509,38.912659,-77.017669,15,0
233,15th & East Capitol St NE,31630,38.889908,-76.983326,8,3
234,8th & F St NE,31631,38.897274,-76.994749,6,16
235,18th St & Rhode Island Ave NE,31510,38.927095,-76.978924,5,10
236,15th & F St NE,31632,38.897195,-76.983575,10,9
237,12th & Irving St NE,31511,38.928644,-76.990955,5,10
239,Alabama & MLK Ave SE,31800,38.84323,-76.999376,8,3
240,Pleasant St & MLK Ave SE,31807,38.863897,-76.990037,3,8
241,Neal St & Trinidad Ave NE,31512,38.903732,-76.987211,6,9
242,12th & U St NW,31268,38.916787,-77.028139,24,2
243,S George Mason & Four Mile Run Dr,31063,38.852248,-77.105022,7,4
244,Gravelly Point,31064,38.865029,-77.039511,2,9
245,Pershing Dr & Wayne St,31065,38.880705,-77.08596,3,8
246,Columbia Pike & S Orme St,31066,38.867262,-77.072315,11,0
247,3rd St & Pennsylvania Ave SE,31269,38.887378,-77.001955,3,12
248,8th & D St NW,31270,38.894851,-77.02324,5,10
249,3rd & Elm St NW,31118,38.917622,-77.01597,8,7
250,Rhode Island Ave & V St NE,31513,38.918155,-77.004746,5,14
251,Constitution Ave & 2nd St NW/DOL,31271,38.892275,-77.013917,3,24
252,Washington & Independence Ave SW/HHS,31272,38.886978,-77.013769,11,20
253,Independence Ave & L'Enfant Plaza SW/DOE,31633,38.887312,-77.025762,10,5
254,Hamlin & 7th St NE,31514,38.927497,-76.997194,7,8
255,Columbia Pike & S Walter Reed Dr,31067,38.862478,-77.086599,3,9
256,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,31068,38.856319,-77.11153,0,0
257,Pershing Dr & N George Mason Dr,31069,38.871822,-77.107906,4,7
258,Fenton St & New York Ave,32001,38.985404,-77.023082,7,8
259,Bethesda Ave & Arlington Rd,32002,38.981103,-77.097426,15,4
260,Montgomery Ave & Waverly St,32003,38.983838,-77.09221,8,3
261,Fallsgrove Blvd & Fallsgrove Dr,32004,39.096312,-77.192672,5,14
262,Traville Gateway Dr & Gudelsky Dr,32005,39.093783,-77.202501,6,13
263,Norfolk Ave & Fairmont St,32000,38.988562,-77.096539,5,6
264,E Montgomery Ave & Maryland Ave,32007,39.084125,-77.151291,5,10
265,Cordell & Norfolk Ave,32008,38.98954,-77.098029,2,9
266,Frederick Ave & Horners Ln,32009,39.094772,-77.145213,3,5
267,Philadelphia & Maple Ave,32010,38.98128,-77.011336,3,12
268,Maple & Ritchie Ave,32011,38.983627,-77.006311,13,6
269,Silver Spring Metro / Colesville Rd & Wayne Ave,32012,38.994896,-77.029532,3,12
270,Montgomery & East Ln,32013,38.983525,-77.095367,1,10
271,Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,32014,38.961763,-77.085998,7,12
272,14th & Belmont St NW,31119,38.921074,-77.031887,11,1
273,3rd & Tingey St SE,31634,38.87501,-77.0024,9,9
274,10th & Florida Ave NW,31120,38.920387,-77.025672,19,0
275,Potomac Ave & 8th St SE,31635,38.876737,-76.994468,3,12
276,Crabbs Branch Way & Redland Rd,32015,39.120045,-77.156985,4,11
277,Fallsgrove Dr & W Montgomery Ave,32016,39.099376,-77.188014,3,12
278,Monroe St & Monroe Pl,32017,39.083673,-77.149162,5,10
279,Needwood Rd & Eagles Head Ct,32018,39.123513,-77.15741,14,1
280,East West Hwy & Blair Mill Rd,32019,38.990249,-77.02935,7,8
281,Crabbs Branch Way & Calhoun Pl,32020,39.107709,-77.152072,5,10
282,47th & Elm St,32021,38.982456,-77.091991,7,8
283,Dennis Ave & Amherst Ave,32022,39.025387,-77.044563,9,6
284,Montgomery College / W Campus Dr & Mannakee St,32023,39.095661,-77.159048,3,18
285,Fenton St & Gist Ave,32024,38.989724,-77.023854,6,5
286,Carroll & Westmoreland Ave,32025,38.975,-77.01121,12,3
287,Carroll & Ethan Allen Ave,32026,38.977933,-77.006472,3,12
288,Battery Ln & Trolley Trail,32027,38.992375,-77.100104,6,9
289,Norfolk & Rugby Ave,32028,38.990639,-77.100239,5,6
290,Offutt Ln & Chevy Chase Dr,32029,38.977093,-77.094589,3,8
291,Broschart & Blackwell Rd,32030,39.102099,-77.200322,3,12
293,Fleet St & Ritchie Pkwy,32032,39.076331,-77.141378,7,8
294,Piccard & W Gude Dr,32033,39.102212,-77.177091,3,16
295,Silver Spring Transit Center - Top Level,32034,38.994035,-77.030371,2,13
296,Georgia Ave & Spring St,32035,38.999388,-77.031555,2,9
297,Fenton St & Ellsworth Dr,32036,38.997033,-77.025608,5,9
298,King Farm Blvd & Pleasant Dr,32037,39.114688,-77.171487,2,16
299,King Farm Blvd & Piccard Dr,32038,39.110314,-77.182669,11,4
301,Calvert St & Woodley Pl NW,31121,38.923583,-77.050046,18,1
302,New Jersey Ave & N St NW/Dunbar HS,31636,38.907333,-77.01536,9,10
303,Nannie Helen Burroughs Ave & 49th St NE,31710,38.898536,-76.931862,6,5
304,Deanwood Rec Center,31711,38.908473,-76.933099,4,10
305,Hains Point/Buckeye & Ohio Dr SW,31273,38.878433,-77.03023,5,12
306,Arlington Blvd & Fillmore St,31070,38.873755,-77.089233,5,6
307,Eads St & 12th St S,31071,38.862753,-77.05428,12,4
308,Old Georgetown Rd & Southwick St,32039,38.999634,-77.109647,1,18
309,Friendship Blvd & Willard Ave,32040,38.96115,-77.088659,4,15
310,North Capitol St & G Pl NE,31637,38.899703,-77.008911,13,5
311,31st St & S Woodrow St,31072,38.837666,-77.09482,5,6
312,Washington Blvd & Walter Reed Dr,31073,38.873219,-77.082104,9,6
313,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,31074,38.869418,-77.095596,11,3
314,Connecticut Ave & Tilden St NW,31313,38.941139,-77.061977,9,6
315,Medical Center Dr & Key West Ave,32041,39.103091,-77.196442,1,14
316,Shady Grove Hospital,32042,39.097636,-77.196636,3,15
317,Veterans Pl & Pershing Dr,32043,38.997445,-77.023894,9,2
318,Rockville Metro East,32044,39.085394,-77.145803,3,10
319,1st & H St NW,31638,38.900358,-77.012108,5,10
320,Fort Totten Metro,31515,38.952369,-77.002721,3,15
321,Takoma Metro,31408,38.975219,-77.016855,10,8
322,Rhode Island Ave Metro,31516,38.920682,-76.995876,10,9
323,Rolfe St & 9th St S,31075,38.866471,-77.076131,6,5
324,Shirlington Transit Center / Quincy St & Randolph St,31076,38.839912,-77.087083,5,10
325,Shady Grove Metro West,32045,39.119765,-77.166093,2,17
326,River Rd & Landy Ln,32046,38.964992,-77.103381,11,8
327,Rockville Metro West,32047,39.084379,-77.146866,7,12
328,Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,32048,38.984691,-77.094537,4,7
329,Iwo Jima Memorial / Meade & 14th St N,31077,38.88992,-77.071301,11,8
330,34th & Water St NW,31314,38.903663,-77.067668,14,5
331,Duke St & John Carlyle St,31081,38.804378,-77.060866,6,9
332,Lee Hwy & N Cleveland St,31079,38.894941,-77.09169,2,13
333,Arlington Blvd & S George Mason Dr,31078,38.869442,-77.104503,0,15
334,10th & G St NW,31274,38.898243,-77.026235,7,16
335,Lee Hwy & N Scott St,31080,38.897612,-77.080851,13,1
336,New Hampshire Ave & 24th St NW,31275,38.901755,-77.051084,10,8
337,Eisenhower Ave & Mill Race Ln,31082,38.801111,-77.068952,0,14
338,Potomac Greens Dr & Slaters Ln,31083,38.82175,-77.047494,8,3
339,Ballenger Ave & Dulaney St,31084,38.802677,-77.063562,6,13
340,Mount Vernon Ave & E Nelson Ave,31085,38.820064,-77.057619,10,1
342,Monroe Ave & Leslie Ave,31087,38.820932,-77.053096,4,11
343,Mount Vernon Ave & Kennedy St,31088,38.833077,-77.059821,9,6
344,Court House Metro / 15th St & N Uhle St,31089,38.890612,-77.084801,7,13
345,WAU / Flower Ave & Division St,32049,38.986743,-77.000035,7,8
346,Long Bridge Park / Long Bridge Dr & 6th St S,31090,38.865553,-77.05003,11,2
